name	country	dob	pob	height	hometown	occupation	hobbies	start_career	club_name	coach	choreographer	former_coach	practice_on_ice_low_season	low_season_practice_place	practice_on_ice_high_season	high_season_practice_place	html	first_name	last_name
Darian KAPTICH	AUS	2001-10-06	South Brisbane	163	Taigum	pupil	movies	2007	Boondall FSC	Maureen and Maximilian Sumner	Maureen Sumner (SP), Kristian Ryan (FS)	Hui Ma	20	Boondall	20	Boondall	http://www.isuresults.com/bios/isufs00014180.htm	Darian	KAPTICH
Brendan KERRY	AUS	1994-11-18	Sydney	173	Corona USA	student	music, going out with friends, surfing	2004	Macquarie SC	Tammy Gambill	Mark Pillay	Galina Pachin, Monica MacDonald, Kylie Fennel	19	Riverside/USA	24	Riverside/USA	http://www.isuresults.com/bios/isufs00011398.htm	Brendan	KERRY
Anthony LIU	AUS	1974-07-04	Qiqihar, China	168	Brisbane	Full time skater	computer, movies	1981	Iceworld FSC, Brisbane	Evelyn Kramer	Evelyn Kramer	C. Jackson, M. Kudriavtseva,Y. Wang Chang	20	Lake Arrowhead, USA	20	Lake Arrowhead, USA	http://www.isuresults.com/bios/isufs00000047.htm	Anthony	LIU
Bradley MCLACHLAN	AUS	1992-04-30	Westmead	178	Green Point	student	skiing, swimming, sailing	2004	Hunter Ice Skating Club	George Galanis	George Galanis	NA	26	Newcastle	23	Newcastle	http://www.isuresults.com/bios/isufs00012253.htm	Bradley	MCLACHLAN
Robert MCNAMARA	AUS	1987-08-18	Southport	171	Willow Vale	student	music	1993	Iceworld FSC	Ekaterina Borodatova	Ekaterina Borodotova	Collin Jackson, Anthony Liu, Robyn Burley	19	Brisbane	15	Brisbane	http://www.isuresults.com/bios/isufs00006601.htm	Robert	MCNAMARA
James MIN	AUS	2000-09-13	Adelaide	151	Adelaide	student	singing, shopping, being with friends	2010	Silver Blades FSC Adelaide	Richard Laidlaw	Richard Laidlaw	NA	31	 Adelaide	31	Adelaide	http://www.isuresults.com/bios/isufs00014951.htm	James	MIN
Tyler MOW	AUS	1987-09-30	Bendigo	NA	Bendigo	student	music, guitar, athletics	1994	Ice Skating Club of Bendigo	Mikhail Vazhenin, Svetlana Vazhenin	Mikhail Vazhenin, Svetlana Vazhenin	NA	21	Bendigo	21	Bendigo	http://www.isuresults.com/bios/isufs00006599.htm	Tyler	MOW
Oliver PORTER	AUS	1995-07-07	Perth	155	Perth	pupil	fishing, boating	NA	Ice House FSC	Valentin Kadzevitch, Irina Stavrovskaia	Irina Stavrovskaia	NA	15	Perth	15	Perth	http://www.isuresults.com/bios/isufs00012842.htm	Oliver	PORTER
Matthew PRECIOUS	AUS	1992-09-14	Perth	174	Perth	student	music, movies	1998	West Australian Skating Association	Irina Stavrovskaia, V. Kadzevitch, V. Nikolaev	Irina Stavrovskaia	NA	23	Perth	20	Perth	http://www.isuresults.com/bios/isufs00010517.htm	Matthew	PRECIOUS
Bradley SANTER	AUS	1982-04-09	Wahroonga	176	Alfords Point	Student	movies, music, european cars	1992	Sydney FSC	Galina Pachin	Maria Filipova	Gretchen Doolan, Galina Zmievskaia	25	Norwest	28	Norwest	http://www.isuresults.com/bios/isufs00003147.htm	Bradley	SANTER
Dean TIMMINS	AUS	1986-08-11	Wolverhampton, GBR	190	Brisbane	NA	music, dancing, acting	1999	Boondall FSC Brisbane	Yuri Bureiko, Ekaterina Borodatova	NA	NA	23	Brisbane	27	Brisbane	http://www.isuresults.com/bios/isufs00008341.htm	Dean	TIMMINS
Mark WEBSTER	AUS	1990-02-21	Penrith	172	Penrith	student (psychology)	computer games, movies, spending time with his girl friend and family	1998	Penrith Valley FSC	Sharyn Renshaw, Liz Cain, Sean Carlow	Cameron Medhurst	Robert Tebby, Lee Barkell	27	Canterbury	27	Barrie/CAN	http://www.isuresults.com/bios/isufs00009055.htm	Mark	WEBSTER
Zabato BEBE	AUT	1987-07-17	Kroneuburg	168	Vienna	student	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00007702.htm	Zabato	BEBE
Manuel DRECHSLER	AUT	1996-02-15	Vienna	168	Vienna	student	skiing, swimming, soccer, skating	2000	EVF Vienna	Pavel Laurencik	Miroslava Hajkova	NA	16	Vienna, Anglet/FRA	15	Vienna	http://www.isuresults.com/bios/isufs00013642.htm	Manuel	DRECHSLER
Christian HORVATH	AUT	1981-11-07	Feldkirch	178	Feldkirch	Soldier	soccer, reading	1985	Wiener Eislauf Verein	Sonja Harand	Anna Levandi, Sonja Harand	Elena Romanova	15	Vienna	13	Vienna	http://www.isuresults.com/bios/isufs00002487.htm	Christian	HORVATH
Mario-Rafael IONIAN	AUT	1990-10-14	Feldkirch	176	Berlin GER	student	electronics, IT, travelling	1994	ESF Feldkirch	Viola Striegler	Paul Boll, Andrea Gilardi	Radu Ionian, Uwe Kagelmann, Birgit Nasheim, Elena Romanova	20	Gmunden	20	Berlin/GER	http://www.isuresults.com/bios/isufs00010523.htm	Mario-Rafael	IONIAN
Simon-Gabriel IONIAN	AUT	1995-07-01	Feldkirch	171	Feldkirch	student	climbing, swimming, music	1999	Feldkirch FSC	Radu Ionian	Claudia Koll	Uwe Kagelmann	21	Gmunden	9	Feldkirch and Innsbruck	http://www.isuresults.com/bios/isufs00012813.htm	Simon-Gabriel	IONIAN
Clemens JONAS	AUT	1980-11-12	Vienna	175	Vienna	student	jogging, reading, swimming, biking	1986	Eissport-Klub Engelmann	Evelyn Rossoukhi-Schneider	Rory Burghardt	Inge Solar-Lind	20	Vienna	20	Vienna	http://www.isuresults.com/bios/isufs00003324.htm	Clemens	JONAS
Severin KIEFER	AUT	1990-10-11	Kuchl	182	Graz	soldier	soccer, music, reading, being with friends	1993	Eisunion Salzburg	Eva Sonnleitner	Andrea Gilardi, H. Schamberger, P. Boll	Robert Tebby, Iva Zvachtova, Barbara Smolikova	18	Berlin/GER, Salzburg	26	Graz, Berlin/GER	http://www.isuresults.com/bios/isufs00009445.htm	Severin	KIEFER
Manuel KOLL	AUT	1987-09-14	Voecklabruck	180	Schwanenstadt	soldier, physiotherapist	soccer, billard, being with friends	1992	EVG Gmunden	Ursula Koll	Claudia Koll	Shanetta Folle	15	NA	15	NA	http://www.isuresults.com/bios/isufs00007223.htm	Manuel	KOLL
Clement LEDOUX	AUT	1994-08-30	Levallois FRA	170	Vienna	pupil	figure skating, playing the piano	1999	NA	Inge Strell-Herr	Doris Polt	Rozum	5	Vienna	11	Vienna	http://www.isuresults.com/bios/isufs00011660.htm	Clement	LEDOUX
Luc MAIERHOFER	AUT	2002-05-24	Vienna	150	Vienna	pupil	dancing, volleyball	2008	Eissport Klub Engelmann Vienna	Julia Lavrenchuk	Alexei Vasilievski	Sergei Gromov	NA	Vienna	NA	Vienna	http://www.isuresults.com/bios/isufs00035069.htm	Luc	MAIERHOFER
Johannes MAIERHOFER	AUT	1998-04-22	Vienna	174	Vienna	pupil	dancing, skating, swimming	2003	EKE Vienna	Julia Lavrenchuk	Alexei Vasilievski	Sergei Gromov	26	Vienna	20	Vienna	http://www.isuresults.com/bios/isufs00054319.htm	Johannes	MAIERHOFER
Florian MISTELBAUER	AUT	1983-11-20	Vienna	177	Vienna	student	music, computer, literature	1985	EKE, Vienna	Sonja Harand	Mina Foissner	Sergei Gromov	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00003805.htm	Florian	MISTELBAUER
Albert MÜCK	AUT	1994-11-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00013913.htm	Albert	MÜCK
Maximilian OBSIEGER	AUT	1992-09-30	Vienna	180	Vienna	NA	NA	1999	EKE Vienna	Pavel Laurencik	Frantisek Blatak	NA	15	Vienna	13	Vienna	http://www.isuresults.com/bios/isufs00011290.htm	Maximilian	OBSIEGER
Bernhard PAULI	AUT	1997-12-09	Vienna	169	Vienna	student	NA	2002	Wiener Eislauf Verein	Evelyn Rossoukhi	Stojan Ivanov	NA	16	Vienna	17	Vienna	http://www.isuresults.com/bios/isufs00013912.htm	Bernhard	PAULI
Viktor PFEIFER	AUT	1987-05-16	Graz	182	Wilmington USA	athlete, coach, student	music	1995	Dornbirn SC	Irina Romanova	Irina Romanova	Priscilla Hill, Elena Romanova, Uschi Keszler	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00005870.htm	Viktor	PFEIFER
Christian RAUCHBAUER	AUT	1984-09-06	Eisenstadt	180	Eisenstadt	student	music, movies	1996	WEV	Evelyn Rossoukhi-Schneider	Stojan Ivanov	NA	24	Vienna AUT, New York,  Alaska USA	20	Vienna	http://www.isuresults.com/bios/isufs00004671.htm	Christian	RAUCHBAUER
Ivan BLAGOV	AZE	1986-01-31	Moscow RUS	NA	Moscow RUS	student	cars	NA	NA	Svetlana Sokolovskaya	Mikhail Pochitalin	NA	18	Moscow	18	Moscow	http://www.isuresults.com/bios/isufs00007567.htm	Ivan	BLAGOV
Andrei DOBROKHODOV	AZE	1984-04-01	Pervouralsk (RUS)	178	Baku	student	detective stories, computer	1988	Central Army Club Baku	Liudmila Svirepa, Peter Kiprushev	Michail Pavlutchenko	NA	12	Baku AZE, Pervouralsk RUS	18	Pervouralsk RUS	http://www.isuresults.com/bios/isufs00004439.htm	Andrei	DOBROKHODOV
Larry LOUPOLOVER	AZE	1999-04-08	Brooklyn USA	170	New York USA	student	basketball, soccer, reading	2005	Neftchi Baku	Kristen Fraser, Vitali Danilchenko, Igor Lukanin	Igor Lukanin, Kristen Fraser	NA	30	Little Falls/USA	30	Little Falls/USA	http://www.isuresults.com/bios/isufs00034481.htm	Larry	LOUPOLOVER
Danil PRIVALOV	AZE	1991-06-18	Moscow RUS	170	Baku	student	rollerblading, reading, studying	1994	NA	Elena Tchaikovskaia, Vladimir Kotin	Anastasia Kazakova	Alexei Tchetverukhin	NA	NA	15	Moscow	http://www.isuresults.com/bios/isufs00009814.htm	Danil	PRIVALOV
Sergei RYLOV	AZE	1975-11-19	Pervouralsk	172	Baku	Student	movies, cars	1980	Central Army Sport Club, Baku	Ludmila Svirepa	Andrei Pavluchenko	I. Pashkevitch, V. Kudriavtsev, I. Ksenofontov	10	Baku (AZE), Pervouralsk (RUS)	12	Pervouralsk (RUS)	http://www.isuresults.com/bios/isufs00002313.htm	Sergei	RYLOV
Sergei DAVYDOV	BLR	1979-03-02	Rostov RUS	159	Vitebsk, Moscow RUS	athlete	soccer	1986	Konek Tchaikovskoi FSC	Elena Tchaikovskaia, Vladimir Kotin	Elena Tchaikovskaia, Vladimir Kotin, S. Rykov	Nina Ruchkina, S. Melechina	40	Sotchi RUS	36	Moscow RUS	http://www.isuresults.com/bios/isufs00000125.htm	Sergei	DAVYDOV
Pavel IGNATENKO	BLR	1995-07-08	Mogilev	169	Moscow RUS	student	meeting with friends, music, music editing, DJ	2000	Skating Union of Belarus	Marina Selitskaia	Mikhail Pochitalin	Svetlana Sokolovskaia	30	Moscow/RUS	30	Moscow/RUS	http://www.isuresults.com/bios/isufs00011307.htm	Pavel	IGNATENKO
Dmitri KAGIROV	BLR	1992-10-10	Potsdam GER	179	Minsk	pupil	music, computer games, shopping	1999	Sport Club Minsk	Halina Aliaksandrava	Irina Tagaeva, Olga Tomashevskaia	Irina Shirshova, B. Tomashevskai	27	Lulya/SWE	30	Minsk	http://www.isuresults.com/bios/isufs00009862.htm	Dmitri	KAGIROV
Mikhail KARALIUK	BLR	1990-10-18	Brest	178	Minsk	student	computer, table tennis, music	2001	Brest Skating Club	Alexander Kazakov	Nadezhda Veraksa	Galina Valeeva	36	Minsk	36	Minsk	http://www.isuresults.com/bios/isufs00009605.htm	Mikhail	KARALIUK
Anton KARPUK	BLR	1997-01-21	Minsk	176	Minsk	student	fishing, reading, music	2001	Minsk	Mikhail Koroliuk	Olga Kalenkovich	Tatiana Shestak	32	Minsk	32	Minsk	http://www.isuresults.com/bios/isufs00014477.htm	Anton	KARPUK
Alexandr KAZAKOV	BLR	1986-08-31	Kirov RUS	165	St. Petersburg RUS	student, coach	music, tennis	1991	NA	Alexei Urmanov, Oksana Kazakova	Oksana Kazakova	Nikolai Komarovski, E. Tarasov, V. Klochko	32	St. Petersburg/RUS	32	St. Petersburg/RUS	http://www.isuresults.com/bios/isufs00007238.htm	Alexandr	KAZAKOV
Pavel KERSHA	BLR	1979-09-16	Aktiubinsk	167	cm 	student	reading, music, dancing	1984	OSCHVSM	Vadim Musim, Nina Ruchkina	Ludmila Petrova	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00002213.htm	Pavel	KERSHA
Vitali LUCHANOK	BLR	1992-02-29	Smolevichi	187	Smolevichi	NA	NA	1997	NA	Alexander Kazakov	NA	Alexei Mishin	25	Tartu/EST	25	Minsk	http://www.isuresults.com/bios/isufs00012605.htm	Vitali	LUCHANOK
Dmitri MALOCHNIKOV	BLR	1984-08-26	Minsk	165	Minsk	pupil	soccer	1988	Youth Minsk	Vladimir Klochok	Eduard Bogadaev	NA	NA	NA	11	Minsk	http://www.isuresults.com/bios/isufs00004032.htm	Dmitri	MALOCHNIKOV
Alexei MIALIONKHIN	BLR	1993-05-11	Minsk	177	Minsk	graduated (pedagocics)	sport games, music	1999	Olympic Sport Centre Minsk	Irina Tokareuskaia	Olga Kalenkovich	Oksana Gulevich	32	Minsk	32	Minsk	http://www.isuresults.com/bios/isufs00009645.htm	Alexei	MIALIONKHIN
Ivan PROKOPOVICH	BLR	2000-04-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014575.htm	Ivan	PROKOPOVICH
Sergei SHILIAEV	BLR	1984-08-15	Kirov (RUS)	169	Vitebsk	student	music, reading	NA	NA	Nina Ruchkina	NA	Liubov Breshneva	44	Novosibirsk (RUS), Vitebsk (BLR)	30	Vitebsk (BLR)	http://www.isuresults.com/bios/isufs00004965.htm	Sergei	SHILIAEV
Artsiom TSELUIKO	BLR	1999-11-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00014515.htm	Artsiom	TSELUIKO
Yakau ZENKO	BLR	2000-07-21	Minsk	166	Moscow RUS	pupil	playing soccer	2003	Sambo 70	Eteri Tutberidze, Sergei Dudakov	Daniil Gleikhengauz	Julia Soldatova	24	Novogorsk/RUS	24	Moscow/RUS	http://www.isuresults.com/bios/isufs00054753.htm	Yakau	ZENKO
Jorik HENDRICKX	BEL	1992-05-18	Turnhout	175	Arendonk	student (sport marketing)	hot yoga, city trips, Netflix	1997	N.O.T. Turnhout	Carine Herrygers	Adam Solya	NA	NA	NA	NA	Turnhout	http://www.isuresults.com/bios/isufs00010696.htm	Jorik	HENDRICKX
Wim HERMANS	BEL	1984-12-28	Zoersel	173	Zoersel	NA	cars	1994	Hot Turnhout	Vera Vandercaveye	NA	Live Westerlink	25	Turnhout	23	Turnhout	http://www.isuresults.com/bios/isufs00006090.htm	Wim	HERMANS
Timothee MANAND	BEL	1997-12-01	Sambreville	174	Sembreffe	athlete	boxing, racing	2004	Heuvelkouter Liederkerke	Kevin van der Perren, Jenna McCorkell	Jenna McCorkell	Eric Montreuil	22	Leuven, Dundee/GBR	22	Liederkerke	http://www.isuresults.com/bios/isufs00013989.htm	Timothee	MANAND
Kevin VAN DER PERREN	BEL	1982-08-06	Ninove	177	Ninove	full-time athlete	movies, music	1991	KSC Heuvelkouter, Liedekerke	Silvie De Rijcke	Lorna Brown	Juri Bureiko, V. Vandecaveye, N.  Morozov, L. van Troyen, H. Beelaert	21	in Belgium	30	Liedekerke	http://www.isuresults.com/bios/isufs00003879.htm	Kevin VAN DER	PERREN
Amel BUREKOVIC	BIH	1991-12-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00011308.htm	Amel	BUREKOVIC
Damjan OSTOJIC	BIH	1986-10-26	Ljubljana SLO	171	NA	coach	music, internet, movies	1991	KKK Bosna Sarajevo	NA	NA	Victoria Ogden, Juri Bureiko, Marina Pirkmajer, Gordana Smrekar	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00004109.htm	Damjan	OSTOJIC
Kevin ALVES	BRA	1991-10-19	Toronto CAN	180	Newmarket CAN	athlete, student	singing, acting, tennis	1997	RTC Richmond Hill	Robert Burk, Vesna Markovich, Danielle Rose	Vesna Markovich, Jeffrey Buttle	NA	19	Richmond Hill ON, CAN	19	Richmond Hill ON, CAN	http://www.isuresults.com/bios/isufs00011053.htm	Kevin	ALVES
Luiz MANELLA	BRA	1995-02-01	Londrina	168	Miami USA	student	recreational sports	2007	Panthers FSC	Artem Torgashev	Ilona Melnichenko	Andrei Kriukov, Kent Johnson	23	Coral Springs/USA	20	Coral Springs/USA	http://www.isuresults.com/bios/isufs00012892.htm	Luiz	MANELLA
Manol ATANASSOV	BUL	1991-09-27	Plovdiv	180	Chicago USA	athlete, coach	skating, roller blading, bowling	2003	Denkova-Staviski	Nikolai Belovol	Viktoria Belovol, Oleg Epstein	Vitali Egorov	25	Evanston, IL/USA	18	Evanston, IL/USA	http://www.isuresults.com/bios/isufs00012584.htm	Manol	ATANASSOV
Naiden BORICHEV	BUL	1980-01-07	Sofia	177	Sofia	student (economics and sport)	soccer, tennis, music	1986	NA	NA	NA	Evelina Panova	15	Sofia	15	Sofia	http://www.isuresults.com/bios/isufs00002170.htm	Naiden	BORICHEV
Ivan DIMITROV	BUL	1986-08-05	Sofia	175	Sofia	NA	rap music	1992	Elit Sofia	Daniela Velichkova	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00006078.htm	Ivan	DIMITROV
Ivan DINEV	BUL	1978-11-08	Sofia	174	Los Angeles USA	Full-time Athlete	motorcycles	1982	Sports Club Ivan Dinev	Angela Nikodinov	Nikolai Morozov	I. Pashkevitch, R. Arutunian, L. Mladenova	26	Los Angeles (USA)	28	Los Angeles (USA)	http://www.isuresults.com/bios/isufs00000109.htm	Ivan	DINEV
Ivo GATOVSKI	BUL	1998-01-17	Sofia	168	Sofia	student	computers, reading	2005	SC Ice Peak	Naiden Borichev, Daniela Velichkova	Oksana Podtykova	NA	20	Sofia, Flims/SUI	20	Sofia	http://www.isuresults.com/bios/isufs00054331.htm	Ivo	GATOVSKI
Georgi KENCHADZE	BUL	1986-08-16	Tiblisi GEO	190	Sofia	student	anatomy, astronomy, computers, web design, music	1991	Dance on Ice - Denkova-Staviski	Andrei Lutai	Ina Lutai	Naiden Borichev, Daniela Velichkova	20	Sofia	20	Sofia	http://www.isuresults.com/bios/isufs00004884.htm	Georgi	KENCHADZE
Iassen PETKOV	BUL	1994-02-17	Varna	180	Sofia	student	photography, martial arts, studying physics and math, watching Japanese anime	2002	Denkova-Staviski	Ina Lutai	Ina Lutai	Michelle Leigh, Doug Leigh, Anna Sherbatov, Daniel Beland, Leonid Birinberg	30	Sofia	30	Sofia	http://www.isuresults.com/bios/isufs00013256.htm	Iassen	PETKOV
Pavel SAVINOV	BUL	1992-01-08	Sofia	177	Sofia	student	computers, movies, music	1997	Ice Dance Denkova Staviski	Paolita Pesheva	NA	NA	15	Sofia	10	Sofia	http://www.isuresults.com/bios/isufs00010268.htm	Pavel	SAVINOV
Stanimir TODOROV	BUL	1982-05-14	Smolian	172	Sofia	Student	motorcycles, bungee jumping	1989	Sports Club Champion	Ludmila Mladenova	Anastassia Sharenkova	NA	16	Sofia	32	Sofia	http://www.isuresults.com/bios/isufs00003477.htm	Stanimir	TODOROV
Hristo TURLAKOV	BUL	1979-03-20	Sofia	180	Sofia	Student	cars, computers	1983	MTT Akademik Sofia	Evelyn Rossoukhi-Schneider	Svetlin Ivelinov	Ludmila Mladenova	26	Sofia (BUL), Vienna (AUT)	28	Sofia (BUL), Vienna (AUT)	http://www.isuresults.com/bios/isufs00001882.htm	Hristo	TURLAKOV
Samuel ANGERS	CAN	1993-04-29	Gatineau, QC	180	Gatineau, QC	student	cycling, movies, badminton	2002	Patinage Gatineau	Guylaine Blouin, Anne-Marie Sauve	M.-F. Dubreuil, P. Lauzon, S.-L. Bourne, J. Brault	NA	18	Gatineau	20	Gatineau	http://www.isuresults.com/bios/isufs00013258.htm	Samuel	ANGERS
Ryan ARNOLD	CAN	1984-09-18	Huntsville, ON	175	Barrie, ON	student	hockey, golf	1987	Barrie FSC	NA	NA	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00005553.htm	Ryan	ARNOLD
Elladj BALDE	CAN	1990-11-09	Moscow RUS	171	Montreal, QC	university student	learning, watching documentaries, movies, spending time with friends and family	1997	CPA Anja Kinsmen	Bruno Marcotte, Manon Perron	Julie Marcotte, Pasquale Camerlengo	Yuka Sato, Jason Dungjen, Eric Therrien, Lynette Ouellette, Anna Sherbatov	23	St.-Leonard QC	19	St.-Leonard QC	http://www.isuresults.com/bios/isufs00009723.htm	Elladj	BALDE
Christophe BELLEY-LEMELIN	CAN	1994-02-27	Levis, QC	180	Levis, QC	NA	NA	1999	CPA Levis	Annie Barabe, Sophie Richard, Yvan Desjardins	Sebastien Britten	Lise Bellemare	22	Drumondville	17	Drumondville	http://www.isuresults.com/bios/isufs00013672.htm	Christophe	BELLEY-LEMELIN
Marc-Olivier BOSSE	CAN	1983-05-10	Laval, QC	175	Lorraine, QC	student	NA	1989	CPA Lorraine	Sophie Richard, Annie Barabe	David Wilson	NA	NA	NA	NA	NA	http://www.isuresults.com/bios/isufs00004440.htm	Marc-Olivier	BOSSE
